127.0.0.1, 2016-11-11 15:03:50, GET, /roomBooking/static/images/facebook.png, HTTP/1.1, 200, 0.000530
127.0.0.1, 2016-11-11 15:03:53, GET, /roomBooking/default/room/room_1, HTTP/1.1, 200, 0.073430
127.0.0.1, 2016-11-11 15:04:03, GET, /roomBooking/default/userpreference/room_1/78, HTTP/1.1, 303, 0.056342
127.0.0.1, 2016-11-11 15:04:04, GET, /roomBooking/default/user/login, HTTP/1.1, 200, 0.261884
127.0.0.1, 2016-11-11 15:04:16, GET, /roomBooking/default/index.html, HTTP/1.1, 200, 0.092580
127.0.0.1, 2016-11-11 15:04:20, GET, /roomBooking/default/room/room_2, HTTP/1.1, 200, 0.078443
127.0.0.1, 2016-11-11 15:09:10, GET, /roomBooking/default/index.html, HTTP/1.1, 200, 0.075009
127.0.0.1, 2016-11-11 15:09:15, GET, /roomBooking/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000525
127.0.0.1, 2016-11-11 15:09:22, GET, /roomBooking/default/index, HTTP/1.1, 200, 0.074163
127.0.0.1, 2016-11-11 15:09:24, GET, /roomBooking/default/index.html, HTTP/1.1, 200, 0.070917
127.0.0.1, 2016-11-11 15:09:31, GET, /roomBooking, HTTP/1.1, 200, 0.087966
127.0.0.1, 2016-11-11 15:09:35, GET, /, HTTP/1.1, 303, 0.000579
127.0.0.1, 2016-11-11 15:09:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.045521
127.0.0.1, 2016-11-11 15:09:38, GET, /admin/default/index, HTTP/1.1, 303, 0.007116
127.0.0.1, 2016-11-11 15:09:38, GET, /admin/default/site, HTTP/1.1, 200, 0.083932
127.0.0.1, 2016-11-11 15:09:48, GET, /admin/default/design/roomBooking, HTTP/1.1, 200, 0.232134
127.0.0.1, 2016-11-11 15:09:48, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.000680
127.0.0.1, 2016-11-11 15:09:48, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000591
127.0.0.1, 2016-11-11 15:09:48, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.000590
127.0.0.1, 2016-11-11 15:09:48, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.000911
127.0.0.1, 2016-11-11 15:10:08, GET, /admin/default/edit/roomBooking/views/default/book.html, HTTP/1.1, 200, 0.071340
127.0.0.1, 2016-11-11 15:10:08, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000681
127.0.0.1, 2016-11-11 15:10:08, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001035
127.0.0.1, 2016-11-11 15:10:08, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.002147
127.0.0.1, 2016-11-11 15:10:08, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.031412
127.0.0.1, 2016-11-11 15:10:08, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2016-11-11 15:10:08, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.038678
127.0.0.1, 2016-11-11 15:10:08, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001098
127.0.0.1, 2016-11-11 15:10:08, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.029778
127.0.0.1, 2016-11-11 15:10:08, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.029923
127.0.0.1, 2016-11-11 15:10:08, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.029648
127.0.0.1, 2016-11-11 15:10:08, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.034224
127.0.0.1, 2016-11-11 15:10:08, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.041739
127.0.0.1, 2016-11-11 15:10:08, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.046976
127.0.0.1, 2016-11-11 15:10:09, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000674
127.0.0.1, 2016-11-11 15:10:09, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000599
127.0.0.1, 2016-11-11 15:10:09, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000507
127.0.0.1, 2016-11-11 15:10:09, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000512
127.0.0.1, 2016-11-11 15:10:09, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000561
127.0.0.1, 2016-11-11 15:10:09, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000457
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000787
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000634
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000627
